Nome;Data de nascimento;Altura (m);Peso (Kg);Nacionalidade;Gênero;Grupo;Posição;Número da camisa;Pontos;Assistências;Tocos;Rebotes;Jogos;Modalidade;Competição
Luka Doncic;28/02/1999;2,01;104;Eslovênia ;Masculino;Dallas Mavericks;Armador;77;33.9;9.8;0.5;9.2;70;Basquete;NBA
Kyrie Irving;23/03/1992;1,88;88;Austrália;Masculino;Dallas Mavericks;Armador;11;25.6;5.2;0.5;5.0;58;Basquete;NBA
Tim Hardaway Jr.;13/03/1992;1,96;93;Estados Unidos;Masculino;Dallas Mavericks;Ala;10;14.4;1.8;0.1;3.2;79;Basquete;NBA
P.J.Washington;23/08/1998;2,01;104;Estados Unidos;Masculino;Dallas Mavericks;Ala-pivô;25;11.7;1.5;0.9;6.2;29;Basquete;NBA
Daniel Gafford;01/10/1998;2,08;106;Estados Unidos;Masculino;Dallas Mavericks;Pivô;21;11.2;1.6;1.9;6.9;29;Basquete;NBA
Dereck Lively II ;12/02/2004;2,16;104;Estados Unidos;Masculino;Dallas Mavericks;Pivô;2;8.8;1.1;1.4;6.9;55;Basquete;NBA
Derrick Jones Jr;15/02/1997;1,98;95;Estados Unidos;Masculino;Dallas Mavericks;Ala;55;8.6;1.0;0.7;3.3;76;Basquete;NBA
Josh Green ;16/11/2000;1,96;90;Estados Unidos;Masculino;Dallas Mavericks;Ala-armador;8;8.2;2.3;0.2;3.2;57;Basquete;NBA
Grant Williams ;30/11/1998;1,98;107;Estados Unidos;Masculino;Dallas Mavericks;Ala-pivô;3;8.1;1.7;0.6;3.6;47;Basquete;NBA
Jaden Hardy;30/11/1998;1,91;89;Estados Unidos;Masculino;Dallas Mavericks;Armador;1;7.3;1.5;0.1;1.8;73;Basquete;NBA
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
